"ID","Response","Variable","Estimate","Std. Error","t value","Pr(>|t|)"
24,"scale(bcd)","(Intercept)","-7.93187645343158","2.09597520417956","-3.7843369700246","0.000272649024992688"
24,"scale(bcd)","log10(wcvp_native_area)","1.19992500670694","0.133848855375306","8.96477600307007","3.15303338993544e-14"
24,"scale(bcd)","Mating.systemoutcrossing","-0.357279557656865","0.210696203165331","-1.69570952057694","0.0932863446665206"
24,"scale(bcd)","cultivation.statuswild","0.502559797260725","0.290586100120236","1.72946949992715","0.0870429157195076"
24,"scale(bcd)","Generation.timenot
annual","-0.0612313117503781","0.465581026151118","-0.131515908748617","0.895651300527024"
25,"scale(log10(pi))","(Intercept)","-0.323455207562136","1.11421848403472","-0.290297829552123","0.7722347220396"
25,"scale(log10(pi))","log10(height_final)","0.130848621605415","0.193311625323525","0.67687921710051","0.500162772887534"
25,"scale(log10(pi))","Mating.systemoutcrossing","0.638449110961777","0.087875569159861","7.26537668052343","1.12492903880934e-10"
25,"scale(log10(pi))","cultivation.statuswild","0.286448702970926","0.173642948331636","1.64964201381702","0.102389967949152"
25,"scale(log10(pi))","Generation.timenot
annual","0.0560808512212485","0.290643154621401","0.192954316416985","0.847415506488868"
26,"scale(jac)","(Intercept)","-0.546692123320068","2.21638519663134","-0.246659346105983","0.805715516053405"
26,"scale(jac)","log10(height_final)","-0.778105580077827","0.38453232543076","-2.02351149336061","0.0458903681090066"
26,"scale(jac)","Mating.systemoutcrossing","1.37208521661849","0.174800645853763","7.84942875878368","6.98419100331193e-12"
26,"scale(jac)","cultivation.statuswild","0.553393811525524","0.34540771464142","1.60214664602967","0.112514506425938"
26,"scale(jac)","Generation.timenot
annual","-0.268903765215769","0.578142612634162","-0.465116667305627","0.642935156891502"
27,"scale(bcd)","(Intercept)","-0.281350022704347","2.56335427611496","-0.109758539943516","0.912837368446489"
27,"scale(bcd)","log10(height_final)","-0.767910803317274","0.44472981600649","-1.72669062356293","0.0875435427058542"
27,"scale(bcd)","Mating.systemoutcrossing","0.946215308646481","0.202165211939659","4.68040618644566","9.71101345514924e-06"
27,"scale(bcd)","cultivation.statuswild","0.725302551103372","0.399480353719601","1.81561507180518","0.0726520676877362"
27,"scale(bcd)","Generation.timenot
annual","-0.191971627053659","0.668649267533685","-0.287103622743426","0.774671692450056"
28,"scale(log10(pi))","(Intercept)","15.0472756464009","3.1276865136497","4.81099227199793","5.85248332218846e-06"
28,"scale(log10(pi))","log10(genome.size)","-1.79544567584922","0.287957248386596","-6.23511193383384","1.35115929555951e-08"
28,"scale(log10(pi))","log10(wcvp_all_popsize)","0.0354602132772437","0.0631549103537647","0.561479908349358","0.575835631982431"
28,"scale(log10(pi))","Mating.systemoutcrossing","0.222436795994778","0.0969189414928845","2.2950807403433","0.0240019446244037"
28,"scale(log10(pi))","Generation.timenot
annual","0.531866859936161","0.229436749843704","2.31814153704007","0.0226582062762404"
28,"scale(log10(pi))","cultivation.statuswild","0.12486363071988","0.137756529208425","0.90640807689748","0.367087769447707"
29,"scale(jac)","(Intercept)","25.0827363711079","4.59779602319584","5.45538258865024","4.09582415095144e-07"
29,"scale(jac)","log10(genome.size)","-3.71722238371869","0.423306071661692","-8.78140577839267","8.34887714518118e-14"
29,"scale(jac)","log10(wcvp_all_popsize)","0.539634381853341","0.0928396737980597","5.81254069275521","8.78483428223831e-08"
29,"scale(jac)","Mating.systemoutcrossing","0.532248636153647","0.142473845068426","3.73576382316363","0.000324396288364781"
29,"scale(jac)","Generation.timenot
annual","0.592250293956547","0.337279126729165","1.7559648582467","0.0824224236454616"
29,"scale(jac)","cultivation.statuswild","0.418132582336638","0.202506363537268","2.06478737276663","0.0417573851296678"
30,"scale(bcd)","(Intercept)","27.4977500908547","4.87497577114468","5.64059215506583","1.85316687772996e-07"
30,"scale(bcd)","log10(genome.size)","-4.21272728470194","0.448825226851801","-9.38611965787063","4.44089209850063e-15"
30,"scale(bcd)","log10(wcvp_all_popsize)","0.701718481762275","0.0984365461371487","7.1286377803686","2.23637552920763e-10"
30,"scale(bcd)","Mating.systemoutcrossing","-0.0103983309963418","0.151062930853471","-0.0688344317007064","0.945270800587785"
30,"scale(bcd)","Generation.timenot
annual","0.938338901358396","0.357612117332392","2.62390130501712","0.010177015895996"
30,"scale(bcd)","cultivation.statuswild","0.536933597464899","0.214714530780903","2.50068588982826","0.0141650602808179"
31,"scale(log10(pi))","(Intercept)","17.0633017339359","3.1947333173768","5.34107233336979","6.64219845791791e-07"
31,"scale(log10(pi))","log10(genome.size)","-1.92934085158406","0.302187452123937","-6.38458294023663","6.88819534744312e-09"
31,"scale(log10(pi))","log10(wcvp_native_popsize)","-0.0264609752322609","0.053300753003327","-0.496446555466283","0.620763489592551"
31,"scale(log10(pi))","Mating.systemoutcrossing","0.223089575575408","0.0981835849724107","2.27216775225813","0.0254061409942539"
31,"scale(log10(pi))","Generation.timenot
annual","0.481505941232137","0.232666667343106","2.0695097700526","0.0413023168776987"
31,"scale(log10(pi))","cultivation.statuswild","0.139863780588509","0.141541457751976","0.988147097040593","0.325672354659101"
32,"scale(jac)","(Intercept)","29.1291337988217","5.11179157118549","5.69841970142502","1.44327867879213e-07"
32,"scale(jac)","log10(genome.size)","-3.80302236199768","0.48352056876958","-7.8652752491487","6.85851375692437e-12"
32,"scale(jac)","log10(wcvp_native_popsize)","0.32015487276028","0.0852848462994606","3.75394793626198","0.000304655590499525"
32,"scale(jac)","Mating.systemoutcrossing","0.150405367980973","0.157100443833868","0.957383469521098","0.340882871666666"
32,"scale(jac)","Generation.timenot
annual","0.580327778459456","0.372282563477592","1.55883684972634","0.122468503140059"
32,"scale(jac)","cultivation.statuswild","0.207687574663328","0.226476002480217","0.917040094265483","0.361519361382806"
33,"scale(bcd)","(Intercept)","32.3905501371917","5.6004437252973","5.78356853955752","9.96876852177309e-08"
33,"scale(bcd)","log10(genome.size)","-4.29725838244174","0.529741813160385","-8.1119863973069","2.10542694389915e-12"
33,"scale(bcd)","log10(wcvp_native_popsize)","0.426330202955016","0.0934374916640019","4.5627316761465","1.55630870193324e-05"
33,"scale(bcd)","Mating.systemoutcrossing","-0.512359217376294","0.172118166920246","-2.97678755557341","0.00372224276639743"
33,"scale(bcd)","Generation.timenot
annual","0.933287472565832","0.407870218812961","2.28819715075548","0.0244164319631484"
33,"scale(bcd)","cultivation.statuswild","0.257201707797669","0.248125552334794","1.03657888265626","0.302649052534392"
34,"scale(log10(pi))","(Intercept)","11.1262365785159","3.38131993905466","3.29050098158607","0.00141875610137676"
34,"scale(log10(pi))","log10(genome.size)","-1.4782609491474","0.31441694691524","-4.70159437540085","9.03666336227182e-06"
34,"scale(log10(pi))","log10(wcvp_all_area)","0.218386515387965","0.101980187339617","2.14146022953154","0.034879530256692"
34,"scale(log10(pi))","Mating.systemoutcrossing","0.304297164235044","0.101983698895474","2.98378238415265","0.00364562649918532"
34,"scale(log10(pi))","Generation.timenot
annual","0.404309464269441","0.22614452584602","1.78783661800742","0.0770948429482634"
34,"scale(log10(pi))","cultivation.statuswild","0.231480773341794","0.1437451708453","1.61035513040585","0.110746293572796"
35,"scale(jac)","(Intercept)","22.6650158900011","5.25599967083521","4.31221790514297","4.05441409845331e-05"
35,"scale(jac)","log10(genome.size)","-3.27047472180295","0.48873676530992","-6.69168958412421","1.69705627328653e-09"
35,"scale(jac)","log10(wcvp_all_area)","0.803661202977727","0.158520294071491","5.06976855982418","2.05180499079916e-06"
35,"scale(jac)","Mating.systemoutcrossing","0.675549999412827","0.158525752512799","4.26145272111726","4.90397688390765e-05"
35,"scale(jac)","Generation.timenot
annual","-0.139557764254876","0.351524131058765","-0.397007635960973","0.692281327824471"
35,"scale(jac)","cultivation.statuswild","0.79825278111834","0.223440722636342","3.5725483327295","0.000564990451920488"
36,"scale(bcd)","(Intercept)","19.525697108936","5.12016965301457","3.81348635536715","0.000247715455752973"
36,"scale(bcd)","log10(genome.size)","-3.26241271751958","0.476106413768993","-6.85227634657008","8.09188716033304e-10"
36,"scale(bcd)","log10(wcvp_all_area)","1.25753974189698","0.154423677686954","8.14343862763229","1.81055170855871e-12"
36,"scale(bcd)","Mating.systemoutcrossing","0.268915115410129","0.154428995066575","1.74135119699639","0.0849647358982475"
36,"scale(bcd)","Generation.timenot
annual","-0.115260498676332","0.342439745218515","-0.336586217825804","0.737195402180236"
36,"scale(bcd)","cultivation.statuswild","1.13599695835566","0.217666377271376","5.21898224519698","1.10729309454882e-06"
37,"scale(log10(pi))","(Intercept)","15.7025571196718","3.55727077634839","4.41421474689952","2.75568275751592e-05"
37,"scale(log10(pi))","log10(genome.size)","-1.82369792090046","0.346676354944892","-5.2605200639956","9.31158872674587e-07"
37,"scale(log10(pi))","log10(wcvp_native_area)","0.0127700097072667","0.0830171468876736","0.153823760343693","0.878085618049772"
37,"scale(log10(pi))","Mating.systemoutcrossing","0.202483917520753","0.102396115705622","1.97745701705007","0.0509829579431997"
37,"scale(log10(pi))","Generation.timenot
annual","0.508134832109194","0.2262823723641","2.2455785079519","0.0271257632523854"
37,"scale(log10(pi))","cultivation.statuswild","0.121967658160847","0.138476987442047","0.88077925736138","0.380732462481429"
38,"scale(jac)","(Intercept)","30.2707301992768","5.89805221270046","5.13232658980094","1.58596583377246e-06"
38,"scale(jac)","log10(genome.size)","-3.72312896888123","0.574798875578594","-6.47727253316826","4.5233872203454e-09"
38,"scale(jac)","log10(wcvp_native_area)","0.352700573332014","0.137644699455673","2.56239851390425","0.0120194695159861"
38,"scale(jac)","Mating.systemoutcrossing","0.150924546002195","0.169775559629854","0.88896509209713","0.37634032615156"
38,"scale(jac)","Generation.timenot
annual","0.218817605227383","0.375182360558791","0.583229992213599","0.56116548847725"
38,"scale(jac)","cultivation.statuswild","0.35129293662477","0.229598631518588","1.53003062039736","0.129440441028877"
39,"scale(bcd)","(Intercept)","29.4589960220121","6.32246320445875","4.65941755125391","1.06689754715283e-05"
39,"scale(bcd)","log10(genome.size)","-3.79629022541487","0.616160150801041","-6.16120698568301","1.8813094637693e-08"
39,"scale(bcd)","log10(wcvp_native_area)","0.617033902532986","0.147549312249785","4.18188260673432","6.59013728112612e-05"
39,"scale(bcd)","Mating.systemoutcrossing","-0.583952122100655","0.181992239143757","-3.20866496751759","0.00183597750508957"
39,"scale(bcd)","Generation.timenot
annual","0.440461843491986","0.402179666108595","1.09518675509829","0.276293681687139"
39,"scale(bcd)","cultivation.statuswild","0.427245042046874","0.246120048995924","1.73592132696979","0.0859256370082808"
40,"scale(log10(pi))","(Intercept)","15.0352311369187","2.90538567804723","5.17495190071432","1.32954166187638e-06"
40,"scale(log10(pi))","log10(genome.size)","-1.79595903368966","0.278731755463864","-6.44332408663243","5.27789589810368e-09"
40,"scale(log10(pi))","log10(gbif_all_popsize)","0.0383730920047004","0.0529424716012061","0.724807339818759","0.470409654339865"
40,"scale(log10(pi))","Mating.systemoutcrossing","0.255357156300772","0.113640458264725","2.24706200766913","0.0270271964393376"
40,"scale(log10(pi))","Generation.timenot
annual","0.518497521538988","0.225947103874376","2.29477392118851","0.0240202864986256"
40,"scale(log10(pi))","cultivation.statuswild","0.101751676293256","0.140910864115112","0.722099583536254","0.47206469273784"
41,"scale(jac)","(Intercept)","32.9299967843131","4.71366354058839","6.98607282865221","4.34912106328511e-10"
41,"scale(jac)","log10(genome.size)","-4.19730325728686","0.452211120630732","-9.28173383138516","7.54951656745106e-15"
41,"scale(jac)","log10(gbif_all_popsize)","0.291342400034995","0.0858932430282274","3.39191291146441","0.0010247128458194"
41,"scale(jac)","Mating.systemoutcrossing","0.677804057252519","0.18436894244561","3.67634617990216","0.000397729948774073"
41,"scale(jac)","Generation.timenot
annual","0.31732285177101","0.366573922932675","0.865644913397969","0.388936697004646"
41,"scale(jac)","cultivation.statuswild","0.234575057915767","0.228612128045814","1.02608317380589","0.307542708353687"
42,"scale(bcd)","(Intercept)","35.9423557808574","5.04814606655558","7.11991200472164","2.32952546141973e-10"
42,"scale(bcd)","log10(genome.size)","-4.73352157316901","0.484300113957596","-9.77394272011975","6.66133814775094e-16"
42,"scale(bcd)","log10(gbif_all_popsize)","0.44296853783819","0.0919882450673438","4.81549069138015","5.74821480014975e-06"
42,"scale(bcd)","Mating.systemoutcrossing","0.256757057288069","0.19745180019481","1.30035308381462","0.196728099677128"
42,"scale(bcd)","Generation.timenot
annual","0.596495521901529","0.39258608324926","1.51940057824924","0.132090994918658"
42,"scale(bcd)","cultivation.statuswild","0.261395601681504","0.244834491266493","1.06764206435679","0.288475543660868"
43,"scale(log10(pi))","(Intercept)","15.5946289840871","2.94529518657316","5.29475926731521","8.06847969547775e-07"
43,"scale(log10(pi))","log10(genome.size)","-1.82914744466599","0.280286482323539","-6.52599236860297","3.62336716186462e-09"
43,"scale(log10(pi))","log10(gbif_native_popsize)","0.0184008939642012","0.0567169392472748","0.324433832438963","0.746346116194859"
43,"scale(log10(pi))","Mating.systemoutcrossing","0.230565624776836","0.11550486796227","1.99615504389088","0.0488735352926639"
43,"scale(log10(pi))","Generation.timenot
annual","0.512859648325651","0.226383477666678","2.26544646107422","0.0258315258321091"
43,"scale(log10(pi))","cultivation.statuswild","0.114142932041636","0.141078816835073","0.809072081849637","0.420561156532574"
44,"scale(jac)","(Intercept)","33.189948080142","4.80993011797614","6.90029735694108","6.47794706765126e-10"
44,"scale(jac)","log10(genome.size)","-4.21714716880636","0.457732861254614","-9.21311866761642","1.02140518265514e-14"
44,"scale(jac)","log10(gbif_native_popsize)","0.288315358491341","0.092623827835164","3.11275581273142","0.00246994573669301"
44,"scale(jac)","Mating.systemoutcrossing","0.665782892364435","0.188629766455084","3.52957491745062","0.000652135528101283"
44,"scale(jac)","Generation.timenot
annual","0.304680700566614","0.369704439950567","0.824119668693597","0.412003015060374"
44,"scale(jac)","cultivation.statuswild","0.250632320068776","0.230394309268871","1.08784075815122","0.279507105346255"
45,"scale(bcd)","(Intercept)","36.2875664160171","5.19230613099932","6.98871859641934","4.29590585326878e-10"
45,"scale(bcd)","log10(genome.size)","-4.7607803215557","0.494121345540926","-9.6348404385242","1.33226762955019e-15"
45,"scale(bcd)","log10(gbif_native_popsize)","0.440230785495519","0.0999871635032209","4.40287302960983","2.8773155800188e-05"
45,"scale(bcd)","Mating.systemoutcrossing","0.240690545611825","0.203625306154305","1.18202668498105","0.240241280156389"
