assembly	chromosome
capsella_grandiflora	Scaffold1367
capsella_grandiflora	Scaffold13717
capsella_grandiflora	Scaffold1372
capsella_grandiflora	Scaffold13725
capsella_grandiflora	Scaffold13726
capsella_grandiflora	Scaffold13749
capsella_grandiflora	Scaffold13758
capsella_grandiflora	Scaffold13763
capsella_grandiflora	Scaffold13766
capsella_grandiflora	Scaffold13768
capsella_grandiflora	Scaffold1378
capsella_grandiflora	Scaffold13780
capsella_grandiflora	Scaffold1379
capsella_grandiflora	Scaffold138
capsella_grandiflora	Scaffold13819
capsella_grandiflora	Scaffold1383
capsella_grandiflora	Scaffold13833
capsella_grandiflora	Scaffold13846
capsella_grandiflora	Scaffold13847
capsella_grandiflora	Scaffold13886
capsella_grandiflora	Scaffold13895
capsella_grandiflora	Scaffold13897
capsella_grandiflora	Scaffold139
capsella_grandiflora	Scaffold1390
capsella_grandiflora	Scaffold13905
capsella_grandiflora	Scaffold13908
capsella_grandiflora	Scaffold13920
capsella_grandiflora	Scaffold13923
capsella_grandiflora	Scaffold1393
capsella_grandiflora	Scaffold13934
capsella_grandiflora	Scaffold13939
capsella_grandiflora	Scaffold13960
capsella_grandiflora	Scaffold1397
capsella_grandiflora	Scaffold1398
capsella_grandiflora	Scaffold1399
capsella_grandiflora	Scaffold14002
capsella_grandiflora	Scaffold1401
capsella_grandiflora	Scaffold14026
capsella_grandiflora	Scaffold14044
capsella_grandiflora	Scaffold14060
capsella_grandiflora	Scaffold14069
capsella_grandiflora	Scaffold1410
capsella_grandiflora	Scaffold14108
capsella_grandiflora	Scaffold14132
capsella_grandiflora	Scaffold14133
capsella_grandiflora	Scaffold14134
capsella_grandiflora	Scaffold14142
capsella_grandiflora	Scaffold14148
capsella_grandiflora	Scaffold14149
capsella_grandiflora	Scaffold1415
capsella_grandiflora	Scaffold14151
capsella_grandiflora	Scaffold14155
capsella_grandiflora	Scaffold14164
capsella_grandiflora	Scaffold14166
capsella_grandiflora	Scaffold1418
capsella_grandiflora	Scaffold1419
capsella_grandiflora	Scaffold1424
capsella_grandiflora	Scaffold14254
capsella_grandiflora	Scaffold14255
capsella_grandiflora	Scaffold14259
capsella_grandiflora	Scaffold1427
capsella_grandiflora	Scaffold14283
capsella_grandiflora	Scaffold14288
capsella_grandiflora	Scaffold1429
capsella_grandiflora	Scaffold14303
capsella_grandiflora	Scaffold14312
capsella_grandiflora	Scaffold1433
capsella_grandiflora	Scaffold14341
capsella_grandiflora	Scaffold14373
capsella_grandiflora	Scaffold14397
capsella_grandiflora	Scaffold14419
capsella_grandiflora	Scaffold14421
capsella_grandiflora	Scaffold1443
capsella_grandiflora	Scaffold14437
capsella_grandiflora	Scaffold14450
capsella_grandiflora	Scaffold14461
capsella_grandiflora	Scaffold14503
capsella_grandiflora	Scaffold1451
capsella_grandiflora	Scaffold14513
capsella_grandiflora	Scaffold14522
capsella_grandiflora	Scaffold14543
capsella_grandiflora	Scaffold1456
capsella_grandiflora	Scaffold14571
capsella_grandiflora	Scaffold1459
